////////////////////////////////////////////////////////////// PID-setup Teil kp Versuch 1: kp = 0.1;
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
error: 0 | diff: 0 | msg.angular.z: 0
Linie verlassen bei: 29026 32748 9391 24989                <-- sensoren vermutlich noch nicht ganz einsatzbereit
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 29026 32748 9391 24989
Linie verlassen bei: 15038 10641 25261 22006            
error: -0.563 | diff: -14075 | msg.angular.z: -0.0563
error: -0.563 | diff: -14075 | msg.angular.z: -0.0563
error: -0.563 | diff: -14075 | msg.angular.z: -0.0563
error: -0.563 | diff: -14075 | msg.angular.z: -0.0563
error: -0.563 | diff: -14075 | msg.angular.z: -0.0563
error: -0.5872 | diff: -14680 | msg.angular.z: -0.05872
error: -0.5872 | diff: -14680 | msg.angular.z: -0.05872
error: -0.5872 | diff: -14680 | msg.angular.z: -0.05872
error: -0.5872 | diff: -14680 | msg.angular.z: -0.05872
error: -0.5872 | diff: -14680 | msg.angular.z: -0.05872
error: -0.63732 | diff: -15933 | msg.angular.z: -0.063732
error: -0.63732 | diff: -15933 | msg.angular.z: -0.063732
error: -0.63732 | diff: -15933 | msg.angular.z: -0.063732
error: -0.63732 | diff: -15933 | msg.angular.z: -0.063732
error: -0.63732 | diff: -15933 | msg.angular.z: -0.063732
error: -0.678 | diff: -16950 | msg.angular.z: -0.0678
error: -0.678 | diff: -16950 | msg.angular.z: -0.0678
error: -0.678 | diff: -16950 | msg.angular.z: -0.0678
error: -0.678 | diff: -16950 | msg.angular.z: -0.0678
error: -0.678 | diff: -16950 | msg.angular.z: -0.0678
error: -0.694 | diff: -17350 | msg.angular.z: -0.0694
error: -0.694 | diff: -17350 | msg.angular.z: -0.0694
error: -0.694 | diff: -17350 | msg.angular.z: -0.0694
error: -0.694 | diff: -17350 | msg.angular.z: -0.0694
error: -0.694 | diff: -17350 | msg.angular.z: -0.0694
error: -0.73288 | diff: -18322 | msg.angular.z: -0.073288
error: -0.73288 | diff: -18322 | msg.angular.z: -0.073288
error: -0.73288 | diff: -18322 | msg.angular.z: -0.073288
error: -0.73288 | diff: -18322 | msg.angular.z: -0.073288
error: -0.73288 | diff: -18322 | msg.angular.z: -0.073288
error: -0.75112 | diff: -18778 | msg.angular.z: -0.075112
error: -0.75112 | diff: -18778 | msg.angular.z: -0.075112
error: -0.75112 | diff: -18778 | msg.angular.z: -0.075112
error: -0.75112 | diff: -18778 | msg.angular.z: -0.075112
error: -0.75112 | diff: -18778 | msg.angular.z: -0.075112
error: -0.77784 | diff: -19446 | msg.angular.z: -0.077784
error: -0.77784 | diff: -19446 | msg.angular.z: -0.077784
error: -0.77784 | diff: -19446 | msg.angular.z: -0.077784
error: -0.77784 | diff: -19446 | msg.angular.z: -0.077784
