////////////////////////////////////////////////////////////// PID-setup Teil kd Versuch 1: kd = 0.1;
error: 0.47524 | diff: 11881 | msg.angular.z: 0.047524
error: 0.47524 | diff: 11881 | msg.angular.z: 0.047524
error: 0.30956 | diff: 7739 | msg.angular.z: 0.014388
error: 0.30956 | diff: 7739 | msg.angular.z: 0.030956
error: 0.30956 | diff: 7739 | msg.angular.z: 0.030956
error: 0.30956 | diff: 7739 | msg.angular.z: 0.030956
error: 0.30956 | diff: 7739 | msg.angular.z: 0.030956
error: 0.10452 | diff: 2613 | msg.angular.z: -0.010052
error: 0.10452 | diff: 2613 | msg.angular.z: 0.010452
error: 0.10452 | diff: 2613 | msg.angular.z: 0.010452
error: 0.10452 | diff: 2613 | msg.angular.z: 0.010452
error: 0.10452 | diff: 2613 | msg.angular.z: 0.010452
error: -0.1554 | diff: -3885 | msg.angular.z: -0.041532
error: -0.1554 | diff: -3885 | msg.angular.z: -0.01554
error: -0.1554 | diff: -3885 | msg.angular.z: -0.01554
error: -0.1554 | diff: -3885 | msg.angular.z: -0.01554
error: -0.1554 | diff: -3885 | msg.angular.z: -0.01554
error: -0.40108 | diff: -10027 | msg.angular.z: -0.064676
error: -0.40108 | diff: -10027 | msg.angular.z: -0.040108
error: -0.40108 | diff: -10027 | msg.angular.z: -0.040108
error: -0.40108 | diff: -10027 | msg.angular.z: -0.040108
error: -0.40108 | diff: -10027 | msg.angular.z: -0.040108
error: -0.4786 | diff: -11965 | msg.angular.z: -0.055612
error: -0.4786 | diff: -11965 | msg.angular.z: -0.04786
error: -0.4786 | diff: -11965 | msg.angular.z: -0.04786
error: -0.4786 | diff: -11965 | msg.angular.z: -0.04786
error: -0.4786 | diff: -11965 | msg.angular.z: -0.04786
error: -0.63208 | diff: -15802 | msg.angular.z: -0.078556
error: -0.63208 | diff: -15802 | msg.angular.z: -0.063208
error: -0.63208 | diff: -15802 | msg.angular.z: -0.063208
error: -0.63208 | diff: -15802 | msg.angular.z: -0.063208
error: -0.63208 | diff: -15802 | msg.angular.z: -0.063208
error: -0.72516 | diff: -18129 | msg.angular.z: -0.081824
error: -0.72516 | diff: -18129 | msg.angular.z: -0.072516
error: -0.72516 | diff: -18129 | msg.angular.z: -0.072516
error: -0.72516 | diff: -18129 | msg.angular.z: -0.072516
error: -0.72516 | diff: -18129 | msg.angular.z: -0.072516
